name	version	source	sha256	license
autocfg	1.5.1	crates.io	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53	Apache-2.0 OR MIT
base64	0.22.1	crates.io	72b3254f16251a8381aa12e40e3c4d2f0199f8c6508fbecb9d91f575e0fbb8c6	MIT OR Apache-2.0
base64ct	1.8.3	crates.io	2af50177e190e07a26ab74f8b1efbfe2ef87da2116221318cb1c2e82baf7de06	Apache-2.0 OR MIT
block-buffer	0.10.4	crates.io	3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71	MIT OR Apache-2.0
cfg-if	1.0.4	crates.io	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801	MIT OR Apache-2.0
clutch-accumulator	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-batch	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-batch-policy-identity	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-bspline	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-bspline-accumulator	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-keeper	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-kernel	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-liveness	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-sbf	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-sbf-harness	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-solana-layout	0.1.0	first-party	-	AGPL-3.0-or-later
clutch-solana-reference	0.1.0	first-party	-	AGPL-3.0-or-later
const-oid	0.9.6	crates.io	c2459377285ad874054d797f3ccebf984978aa39129f6eafde5cdc8315b612f8	Apache-2.0 OR MIT
cpufeatures	0.2.17	crates.io	59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280	MIT OR Apache-2.0
crypto-common	0.1.7	crates.io	78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a	MIT OR Apache-2.0
curve25519-dalek	4.1.3	crates.io	97fb8b7c4503de7d6ae7b42ab72a5a59857b4c937ec27a3d4539dba95b5ab2be	BSD-3-Clause
curve25519-dalek-derive	0.1.1	crates.io	f46882e17999c6cc590af592290432be3bce0428cb0d5f8b6715e4dc7b383eb3	MIT/Apache-2.0
darling	0.23.0	crates.io	25ae13da2f202d56bd7f91c25fba009e7717a1e4a1cc98a76d844b65ae912e9d	MIT
darling_core	0.23.0	crates.io	9865a50f7c335f53564bb694ef660825eb8610e0a53d3e11bf1b0d3df31e03b0	MIT
darling_macro	0.23.0	crates.io	ac3984ec7bd6cfa798e62b4a642426a5be0e68f9401cfc2a01e3fa9ea2fcdb8d	MIT
der	0.7.10	crates.io	e7c1832837b905bbfb5101e07cc24c8deddf52f93225eee6ead5f4d63d53ddcb	Apache-2.0 OR MIT
digest	0.10.7	crates.io	9ed9a281f7bc9b7576e61468ba615a66a5c8cfdff42420a70aa82701a3b1e292	MIT OR Apache-2.0
ed25519	2.2.3	crates.io	115531babc129696a58c64a4fef0a8bf9e9698629fb97e9e40767d235cfbcd53	Apache-2.0 OR MIT
ed25519-dalek	2.2.0	crates.io	70e796c081cee67dc755e1a36a0a172b897fab85fc3f6bc48307991f64e4eca9	BSD-3-Clause
fiat-crypto	0.2.9	crates.io	28dea519a9695b9977216879a3ebfddf92f1c08c05d984f8996aecd6ecdc811d	MIT OR Apache-2.0 OR BSD-1-Clause
five8	1.0.0	crates.io	23f76610e969fa1784327ded240f1e28a3fd9520c9cec93b636fcf62dd37f772	MIT
five8_const	1.0.0	crates.io	1a0f1728185f277989ca573a402716ae0beaaea3f76a8ff87ef9dd8fb19436c5	MIT
five8_core	1.0.0	crates.io	059c31d7d36c43fe39d89e55711858b4da8be7eb6dabac23c7289b1a19489406	MIT
generic-array	0.14.7	crates.io	85649ca51fd72272d7821adaf274ad91c288277713d9c18820d8499a7ff69e9a	MIT
getrandom	0.2.17	crates.io	ff2abc00be7fca6ebc474524697ae276ad847ad0a6b3faa4bcb027e9a4614ad0	MIT OR Apache-2.0
getrandom	0.3.4	crates.io	899def5c37c4fd7b2664648c28120ecec138e4d395b459e5ca34f9cce2dd77fd	MIT OR Apache-2.0
hmac	0.12.1	crates.io	6c49c37c09c17a53d937dfbb742eb3a961d65a994e6bcdcf37e7399d0cc8ab5e	MIT OR Apache-2.0
ident_case	1.0.1	crates.io	b9e0384b61958566e926dc50660321d12159025e767c18e043daf26b70104c39	MIT/Apache-2.0
itoa	1.0.18	crates.io	8f42a60cbdf9a97f5d2305f08a87dc4e09308d1276d28c869c684d7777685682	MIT OR Apache-2.0
libc	0.2.189	crates.io	3eaf3ede3fee6db1a4c2ee091bf8a8b4dccdc6d17f656fb07896ee72867612f2	MIT OR Apache-2.0
memchr	2.8.3	crates.io	cf8baf1c55e62ffcace7a9f06f4bd9cd3f0c4beb022d3b367256b91b87513d98	Unlicense OR MIT
num-traits	0.2.19	crates.io	071dfc062690e90b734c0b2273ce72ad0ffa95f0c74596bc250dcfd960262841	MIT OR Apache-2.0
pastey	0.2.3	crates.io	2ee67f1008b1ba2321834326597b8e186293b049a023cdef258527550b9935b4	MIT OR Apache-2.0
pbkdf2	0.11.0	crates.io	83a0692ec44e4cf1ef28ca317f14f8f07da2d95ec3fa01f86e4467b725e60917	MIT OR Apache-2.0
pkcs8	0.10.2	crates.io	f950b2377845cebe5cf8b5165cb3cc1a5e0fa5cfa3e1f7f55707d8fd82e0a7b7	Apache-2.0 OR MIT
ppv-lite86	0.2.21	crates.io	85eae3c4ed2f50dcfe72643da4befc30deadb458a9b590d720cde2f2b1e97da9	MIT OR Apache-2.0
proc-macro2	1.0.107	crates.io	985e7ec9bb745e6ce6535b544d84d6cd6f7ad8bd711c398938ae983b91a766d9	MIT OR Apache-2.0
quote	1.0.47	crates.io	1fbf4db142a473a8d80c26bbf18454ed458bf8d26c8219c331daecfdbd079001	MIT OR Apache-2.0
r-efi	5.3.0	crates.io	69cdb34c158ceb288df11e18b4bd39de994f6657d83847bdffdbd7f346754b0f	MIT OR Apache-2.0 OR LGPL-2.1-or-later
rand	0.9.5	crates.io	b9ef1d0d795eb7d84685bca4f72f3649f064e6641543d3a8c415898726a57b41	MIT OR Apache-2.0
rand_chacha	0.9.0	crates.io	d3022b5f1df60f26e1ffddd6c66e8aa15de382ae63b3a0c1bfc0e4d3e3f325cb	MIT OR Apache-2.0
rand_core	0.6.4	crates.io	ec0be4795e2f6a28069bec0b5ff3e2ac9bafc99e6a9a7dc3547996c5c816922c	MIT OR Apache-2.0
rand_core	0.9.5	crates.io	76afc826de14238e6e8c374ddcc1fa19e374fd8dd986b0d2af0d02377261d83c	MIT OR Apache-2.0
rustc_version	0.4.1	crates.io	cfcb3a22ef46e85b45de6ee7e79d063319ebb6594faafcf1c225ea92ab6e9b92	MIT OR Apache-2.0
semver	1.0.28	crates.io	8a7852d02fc848982e0c167ef163aaff9cd91dc640ba85e263cb1ce46fae51cd	MIT OR Apache-2.0
serde	1.0.228	crates.io	9a8e94ea7f378bd32cbbd37198a4a91436180c5bb472411e48b5ec2e2124ae9e	MIT OR Apache-2.0
serde_core	1.0.228	crates.io	41d385c7d4ca58e59fc732af25c3983b67ac852c1a25000afe1175de458b67ad	MIT OR Apache-2.0
serde_derive	1.0.228	crates.io	d540f220d3187173da220f885ab66608367b6574e925011a9353e4badda91d79	MIT OR Apache-2.0
serde_json	1.0.151	crates.io	c841b55ecdae098c80dcae9cf767f6f8a0c2cdb3416bbef72181df4d0fe73f14	MIT OR Apache-2.0
sha2	0.10.9	crates.io	a7507d819769d01a365ab707794a4084392c824f54a7a6a7862f8c3d0892b283	MIT OR Apache-2.0
signature	2.2.0	crates.io	77549399552de45a898a580c1b41d445bf730df867cc44e6c0233bbc4b8329de	Apache-2.0 OR MIT
solana-account-info	3.1.1	crates.io	a9cf16495d9eb53e3d04e72366a33bb1c20c24e78c171d8b8f5978357b63ae95	Apache-2.0
solana-address	2.6.1	crates.io	39c93e262f671bf402e1040e4a7e40b05d81da5956c7681948c975a0997517bb	Apache-2.0
solana-cpi	3.1.0	crates.io	4dea26709d867aada85d0d3617db0944215c8bb28d3745b912de7db13a23280c	Apache-2.0
solana-define-syscall	4.0.1	crates.io	57e5b1c0bc1d4a4d10c88a4100499d954c09d3fecfae4912c1a074dff68b1738	Apache-2.0
solana-define-syscall	5.1.0	vendored	-	Apache-2.0
solana-hash	4.5.0	crates.io	6f4c847893a2ea50b4ae3ca723b124e07cd0544fecea3598f785168f9b78333f	Apache-2.0
solana-instruction	3.4.1	crates.io	a3957ca1d31107efd9a6bb88b25c348ca5e3b4b6683e3d08adb86d3d17aa01f1	Apache-2.0
solana-instruction-error	2.4.0	crates.io	3b7d34343838343a3755b7dfb1e438d94c6db2263b519cfe3c2257af932b6e93	Apache-2.0
solana-keypair	3.1.2	crates.io	263d614c12aa267a3278703175fd6440552ca61bc960b5a02a4482720c53438b	Apache-2.0
solana-program-entrypoint	3.1.1	crates.io	84c9b0a1ff494e05f503a08b3d51150b73aa639544631e510279d6375f290997	Apache-2.0
solana-program-error	3.0.1	crates.io	4f04fa578707b3612b095f0c8e19b66a1233f7c42ca8082fcb3b745afcc0add6	Apache-2.0
solana-program-memory	3.1.0	crates.io	4068648649653c2c50546e9a7fb761791b5ab0cda054c771bb5808d3a4b9eb52	Apache-2.0
solana-pubkey	4.2.0	crates.io	7db719574990de7e8b0f55a8593ac92a5ccb42c8ce67b3e4bf05b139d5d9ee71	Apache-2.0
solana-sanitize	3.0.1	crates.io	dcf09694a0fc14e5ffb18f9b7b7c0f15ecb6eac5b5610bf76a1853459d19daf9	Apache-2.0
solana-sdk-ids	3.1.0	crates.io	def234c1956ff616d46c9dd953f251fa7096ddbaa6d52b165218de97882b7280	Apache-2.0
solana-seed-phrase	3.0.0	crates.io	dc905b200a95f2ea9146e43f2a7181e3aeb55de6bc12afb36462d00a3c7310de	Apache-2.0
solana-sha256-hasher	3.1.0	crates.io	db7dc3011ea4c0334aaaa7e7128cb390ecf546b28d412e9bf2064680f57f588f	Apache-2.0
solana-signature	3.4.1	crates.io	b0364c7577c3c82a693ce28a1febc8d1b5d1b0a175fdc2114ae6186b69effe1e	Apache-2.0
solana-signer	3.0.1	crates.io	520bd6021163ee517f4bdc7ae03ded904f97e11320001ba0b3355f45eb14f558	Apache-2.0
solana-stable-layout	3.0.1	crates.io	c9f6a291ba063a37780af29e7db14bdd3dc447584d8ba5b3fc4b88e2bbc982fa	Apache-2.0
solana-transaction-error	3.3.2	crates.io	054e54d15164b0c34cb744600a1a0330e9fd97a12d979f2eb95904c807a07713	Apache-2.0
spki	0.7.3	crates.io	d91ed6c858b01f942cd56b37a94b3e0a1798290327d1236e4d9cf4eaca44d29d	Apache-2.0 OR MIT
strsim	0.11.1	crates.io	7da8b5736845d9f2fcb837ea5d9e2628564b3b043a70948a3f0b778838c5fb4f	MIT
subtle	2.6.1	crates.io	13c2bddecc57b384dee18652358fb23172facb8a2c51ccc10d74c157bdea3292	BSD-3-Clause
syn	2.0.119	crates.io	872831b642d1a07999a962a351ed35b955ea2cfc8f3862091e2a240a84f17297	MIT OR Apache-2.0
syn	3.0.3	crates.io	53e9bae58849f64dfa4f5d5ae372c8341f7305f82a3868709269343628b659a3	MIT OR Apache-2.0
thiserror	2.0.20	crates.io	ec86235f5fcc2a73650310756d2ac5b138a5780bbbdfae3eeccec992c435ba4f	MIT OR Apache-2.0
thiserror-impl	2.0.20	crates.io	bc04cd3e1236dd4a98afca4569f2deb3f120e5422a4023be2cb683f8486292af	MIT OR Apache-2.0
typenum	1.20.1	crates.io	b6f5e870be6c3b371b77fe0ee0bafb859fa4964b4404c27de1d380043c4dda20	MIT OR Apache-2.0
unicode-ident	1.0.24	crates.io	e6e4313cd5fcd3dad5cafa179702e2b244f760991f45397d14d4ebf38247da75	(MIT OR Apache-2.0) AND Unicode-3.0
version_check	0.9.5	crates.io	0b928f33d975fc6ad9f86c8f283853ad26bdd5b10b7f1542aa2fa15e2289105a	MIT/Apache-2.0
wasi	0.11.1+wasi-snapshot-preview1	crates.io	ccf3ec651a847eb01de73ccad15eb7d99f80485de043efb2f370cd654f4ea44b	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wasip2	1.0.4+wasi-0.2.12	crates.io	b67efb37e106e55ce722a510d6b5f9c17f083e5fc79afc2badeb12cc313d9487	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
wincode	0.5.5	crates.io	66d967db7705dc29120bb6e8ce5b5a2e27734ed5976d1c904e95bd238d1c3c5a	Apache-2.0
wincode-derive	0.4.6	crates.io	15ab90b719560d0fda79c74550ad1c948d17b118765942838055ebaf34d67071	Apache-2.0
wit-bindgen	0.57.1	crates.io	1ebf944e87a7c253233ad6766e082e3cd714b5d03812acc24c318f549614536e	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
zerocopy	0.8.56	crates.io	556764e583adb45a9f8d413c2a147fa7e8d821e48e12b14fd560b607998b75eb	BSD-2-Clause OR Apache-2.0 OR MIT
zerocopy-derive	0.8.56	crates.io	f2ab42fc20575779bd240faa45f94a74256f755c0fa9e89f0ede20d91d0cdfc1	BSD-2-Clause OR Apache-2.0 OR MIT
zeroize	1.9.0	crates.io	e13c156562582aa81c60cb29407084cdb54c4164760106ab78e6c5b0858cf64e	Apache-2.0 OR MIT
zmij	1.0.23	crates.io	29666d0abbfad1e3dc4dcf6144730dd3a3ab225bbbdac83319345b1b44ccfc1b	MIT
