# @generated by tools/emission-guard/emission_guard.py --fixpoint --write-debt
#
# Generated Rust files that rustfmt does not leave alone AND whose guard
# compares raw emitter stdout. Each is green today and reds the first time
# anyone formats the FILE -- which `cargo fmt` will not do, because every one
# of these is behind `#[rustfmt::skip]` or an `include!` that stops rustfmt's
# module walk, but which `tools/lane.sh fmt <path>` does, because a direct
# invocation never sees the attribute that lives in the sibling file. That is
# how `generated_transition_programs_v3.rs` went red at `ea4c46e02`.
#
# The repair is one of two, and both are the owning lane's to make, not this
# file's:
#
#   * teach the guard to `rustfmt --edition 2024` the emission before it
#     compares, as the other forty-two guards in this tree do, and commit the
#     formatted file; or
#   * make the emitter print what rustfmt would print, so raw and formatted
#     are the same bytes.
#
# This list is a RATCHET. A new pair reds `--fixpoint`; so does a repaired one
# still listed here. It only moves when somebody looks at it.
#
# path	emitter
crates/dclutch-capability-program-contract/src/generated_set_v1.rs	EmitCapabilityProgramSetV1Rust.lean
crates/dclutch-capability-program-contract/src/generated_set_v2.rs	EmitCapabilityProgramSetV2Rust.lean
crates/dclutch-capability-program-contract/src/generated_v3.rs	EmitCapabilityProgramV3AbiRust.lean
crates/dclutch-capability-program-contract/src/generated_v4.rs	EmitCapabilityProgramV4AbiRust.lean
crates/dclutch-dealer-codec/src/generated_dealer_liquidity.rs	EmitDealerLiquidityAbiRust.lean
crates/dclutch-dealer-codec/src/generated_dealer_trading_profile.rs	EmitDealerTradingProfileRust.lean
crates/dclutch-execution-strategy-contract/src/generated_v2.rs	EmitExecutionStrategyV2AbiRust.lean
crates/dclutch-general-codec/src/generated_general_controller.rs	EmitGeneralControllerAbiRust.lean
crates/dclutch-general-codec/src/generated_general_controller_request_v3.rs	EmitGeneralControllerRequestV3Rust.lean
crates/dclutch-liability-basis-v2-kernel/src/generated.rs	EmitLiabilityBasisV2Rust.lean
crates/dclutch-liability-basis-v2-kernel/src/generated_price_gate.rs	EmitLiabilityBasisV2PriceGateRust.lean
crates/dclutch-liability-basis-v2-kernel/src/generated_spline.rs	EmitLiabilityBasisV2SplineRust.lean
crates/dclutch-market-core-codec/src/generated.rs	EmitMarketCoreRust.lean
crates/dclutch-market-core-codec/src/generated_physical.rs	EmitMarketCorePhysicalRust.lean
crates/dclutch-market-core-codec/src/generated_retirement_v1.rs	EmitMarketRetirementV1Rust.lean
crates/dclutch-market-core-codec/src/generated_series_found_ack_v2.rs	EmitSeriesCoreFoundAckV2Rust.lean
crates/dclutch-product-payoff-v2-codec/tests/generated/basis_corpus_v3.rs	EmitProductBasisV3CorpusRust.lean
crates/dclutch-transition-vm/src/v2/generated.rs	EmitTransitionVMV2Rust.lean
