# direct-r10 frame audit, one row per disassembled function region
# max_offset	references	provenance	symbol
# regions=1077 first_party_regions=927 deepest=4096 at _ZN10clutch_sbf11claim_truth21observe_outcome_mints
 4096	     2	first-party	_ZN10clutch_sbf12instructions16source_ingest_v27process
 4096	     2	first-party	_ZN10clutch_sbf5token10admit_mint
 4096	     2	other	_ZN13clutch_kernel11MarketState15redeem_external
 4096	     2	other	_ZN13clutch_kernel11MarketState15redeem_internal
 4096	     2	other	_ZN13clutch_kernel11MarketState16check_invariants
 4096	     4	first-party	_ZN10clutch_sbf12instructions13source_ingest7process
 4096	     4	first-party	_ZN10clutch_sbf14source_archive35verify_recorded_sealed_archive_view
 4096	     4	first-party	_ZN12clutch_batch18relation_v1_stream11ClearWorkV116begin_with_basis
 4096	     4	other	_ZN10solana_cpi6invoke
 4096	     4	other	_ZN4core3fmt3num3imp54_$LT$impl$u20$core..fmt..Display$u20$for$u20$usize$GT$3fmt
 4096	     5	first-party	_ZN10clutch_sbf12instructions12orders_batch10clear_work16write_grow_stage
 4096	     5	first-party	_ZN10clutch_sbf12instructions12orders_batch9selection14retained_score
 4096	     5	first-party	_ZN10clutch_sbf12instructions15observe_resolve7process
 4096	     5	first-party	_ZN10clutch_sbf17source_archive_v238verify_recorded_sealed_archive_v2_view
 4096	     6	first-party	_ZN10clutch_sbf11claim_truth21observe_outcome_mints
 4096	     6	first-party	_ZN10clutch_sbf12instructions12orders_batch18apply_cancel_order
 4096	     6	first-party	_ZN10clutch_sbf12instructions16direct_selection38prepare_verified_selected_window_boxed
 4096	     7	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement10locate_one
 4096	     7	first-party	_ZN10clutch_sbf12instructions7genesis16write_empty_page
 4096	     8	first-party	_ZN10clutch_sbf12instructions12orders_batch10clear_work15finish_creation
 4096	     8	other	_ZN13clutch_kernel11MarketState7resolve
 4096	     9	first-party	_ZN10clutch_sbf11claim_truth27observe_outcome_mints_boxed
 4096	    10	first-party	_ZN10clutch_sbf12instructions11market_init22validate_initial_plane
 4096	    10	first-party	_ZN10clutch_sbf12instructions13external_exit20kernel_redeem_native
 4096	    11	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement19entitle_reservation
 4096	    11	first-party	_ZN10clutch_sbf12instructions5split13token_effects
 4096	    11	other	_ZN13clutch_kernel11MarketState19resolve_with_vector
 4096	    12	other	_ZN13clutch_kernel11MarketState20check_invariants_for
 4096	    14	first-party	_ZN10clutch_sbf12instructions16direct_selection7process
 4096	    17	first-party	_ZN10clutch_sbf12instructions15observe_resolve23apply_market_resolution
 4096	    17	first-party	_ZN10clutch_sbf13native_window17occupation_window
