name	version	archive_sha256	unpacked_source
autocfg	1.5.1	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/autocfg-1.5.1
base64	0.22.1	72b3254f16251a8381aa12e40e3c4d2f0199f8c6508fbecb9d91f575e0fbb8c6	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/base64-0.22.1
base64ct	1.8.3	2af50177e190e07a26ab74f8b1efbfe2ef87da2116221318cb1c2e82baf7de06	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/base64ct-1.8.3
block-buffer	0.10.4	3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/block-buffer-0.10.4
cfg-if	1.0.4	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/cfg-if-1.0.4
const-oid	0.9.6	c2459377285ad874054d797f3ccebf984978aa39129f6eafde5cdc8315b612f8	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/const-oid-0.9.6
cpufeatures	0.2.17	59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/cpufeatures-0.2.17
crypto-common	0.1.7	78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/crypto-common-0.1.7
curve25519-dalek	4.1.3	97fb8b7c4503de7d6ae7b42ab72a5a59857b4c937ec27a3d4539dba95b5ab2be	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-4.1.3
curve25519-dalek-derive	0.1.1	f46882e17999c6cc590af592290432be3bce0428cb0d5f8b6715e4dc7b383eb3	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/curve25519-dalek-derive-0.1.1
darling	0.23.0	25ae13da2f202d56bd7f91c25fba009e7717a1e4a1cc98a76d844b65ae912e9d	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/darling-0.23.0
darling_core	0.23.0	9865a50f7c335f53564bb694ef660825eb8610e0a53d3e11bf1b0d3df31e03b0	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/darling_core-0.23.0
darling_macro	0.23.0	ac3984ec7bd6cfa798e62b4a642426a5be0e68f9401cfc2a01e3fa9ea2fcdb8d	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/darling_macro-0.23.0
der	0.7.10	e7c1832837b905bbfb5101e07cc24c8deddf52f93225eee6ead5f4d63d53ddcb	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/der-0.7.10
digest	0.10.7	9ed9a281f7bc9b7576e61468ba615a66a5c8cfdff42420a70aa82701a3b1e292	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/digest-0.10.7
ed25519	2.2.3	115531babc129696a58c64a4fef0a8bf9e9698629fb97e9e40767d235cfbcd53	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ed25519-2.2.3
ed25519-dalek	2.2.0	70e796c081cee67dc755e1a36a0a172b897fab85fc3f6bc48307991f64e4eca9	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ed25519-dalek-2.2.0
fiat-crypto	0.2.9	28dea519a9695b9977216879a3ebfddf92f1c08c05d984f8996aecd6ecdc811d	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/fiat-crypto-0.2.9
