name	version	source	checksum	license
Inflector	0.11.4	registry+https://github.com/rust-lang/crates.io-index	fe438c63458706e03479442743baae6c88256498e6431708f6dfc520a26515d3	BSD-2-Clause
adler2	2.0.1	registry+https://github.com/rust-lang/crates.io-index	320119579fcad9c21884f5c4861d16174d0e06250625266f50fe6898340abefa	0BSD OR MIT OR Apache-2.0
aead	0.5.2	registry+https://github.com/rust-lang/crates.io-index	d122413f284cf2d62fb1b7db97e02edb8cda96d769b16e443a4f6195e35662b0	MIT OR Apache-2.0
aes	0.8.4	registry+https://github.com/rust-lang/crates.io-index	b169f7a6d4742236a0a00c541b845991d0ac43e546831af1249753ab4c3aa3a0	MIT OR Apache-2.0
aes-gcm-siv	0.11.1	registry+https://github.com/rust-lang/crates.io-index	ae0784134ba9375416d469ec31e7c5f9fa94405049cf08c5ce5b4698be673e0d	MIT OR Apache-2.0
agave-bls-cert-verify	4.2.1	registry+https://github.com/rust-lang/crates.io-index	f6b6334f25735d4345cc57ae8a9f7da3d99f422dfd16defe8bf253f4716a0f45	Apache-2.0
agave-cpu-utils	4.2.1	registry+https://github.com/rust-lang/crates.io-index	b2da49b780e1831abaef6fd17016b653cf21301ad77271b72ad477c530029b49	Apache-2.0
agave-feature-set	4.2.1	registry+https://github.com/rust-lang/crates.io-index	93723b88193a51692304c79dc52cfea0389dabe9a6650288dd508b78fbff5a8f	Apache-2.0
agave-fs	4.2.1	registry+https://github.com/rust-lang/crates.io-index	36bfb38931e2aafc6e72183db7b9ecb40f5bf8ea1783444905eab51f0830e2e7	Apache-2.0
agave-io-uring	4.2.1	registry+https://github.com/rust-lang/crates.io-index	ff3fc82af9dde3830ba232d5b9696501efe718f548b5ca9276c0a692a265b180	Apache-2.0
agave-logger	4.2.1	registry+https://github.com/rust-lang/crates.io-index	943492d863806d26552d1b9e2dbf02295719f4bd438015637626c9da51a2973c	Apache-2.0
agave-precompiles	4.2.1	registry+https://github.com/rust-lang/crates.io-index	3d4b7f6df4556094a86b0cfedc931235ddbb738f3a8a0676990f0be26091cca9	Apache-2.0
agave-random	4.2.1	registry+https://github.com/rust-lang/crates.io-index	88a9ee7bf8f8fc56921efe41d4ca910bdbe8846aaad7ac0a9c3d74b2cc68b145	Apache-2.0
agave-reserved-account-keys	4.2.1	registry+https://github.com/rust-lang/crates.io-index	823f261d896cedb7f95ecfed70d27aae6c7fd5a8fcc01e21a71382268e0743e4	Apache-2.0
agave-snapshots	4.2.1	registry+https://github.com/rust-lang/crates.io-index	827c148711b74d41d75772b9171ce62a3b05f36b74e8d9c6d48b38b9b21bb770	Apache-2.0
agave-transaction-view	4.2.1	registry+https://github.com/rust-lang/crates.io-index	355713e066b40689fca695caa2cb4f3fa582dc7a40c3fa28206b84ad5fa6bf95	Apache-2.0
agave-votor-messages	4.2.1	registry+https://github.com/rust-lang/crates.io-index	f13132a1b3bb9c543f19b6de6d47318c6ed6af7978808d9abf1f424c31da2f01	Apache-2.0
agave-xdp	4.2.1	registry+https://github.com/rust-lang/crates.io-index	1184194019693cf5e430205410847f2b18234270052ece5ed1ac0200cb4ba9f8	Apache-2.0
agave-xdp-ebpf	4.2.1	registry+https://github.com/rust-lang/crates.io-index	089340aa6476eea624a152f75416dce28b5e0ee425e7d3c5bfa4a96d43a606d7	Apache-2.0
ahash	0.8.12	registry+https://github.com/rust-lang/crates.io-index	5a15f179cd60c4584b8a8c596927aadc462e27f2ca70c04e0071964a73ba7a75	MIT OR Apache-2.0
aho-corasick	1.1.5	registry+https://github.com/rust-lang/crates.io-index	c982642fa9e8606056828ee9a8505737230110bb1099153c79efe865c59d12ba	Unlicense OR MIT
