ok,1,0
ok,1,0
ok,1,0
ok,0,1
ok,0,1
ok,0,1
ok,0,1
ok,0,1
ok,0,1
ok,2,0
ok,2,0
ok,1,1
ok,1,1
ok,0,2
ok,0,2
ok,0,2
ok,0,2
ok,0,2
ok,3,0
ok,2,1
ok,2,1
ok,1,2
ok,0,3
ok,0,3
ok,0,3
ok,0,3
ok,0,3
ok,7,0
ok,5,2
ok,4,3
ok,2,5
ok,0,7
ok,0,7
ok,0,7
ok,0,7
ok,0,7
ok,8,0
ok,6,2
ok,4,4
ok,2,6
ok,0,8
ok,0,8
ok,0,8
ok,0,8
ok,0,8
ok,16,0
ok,12,4
ok,8,8
ok,4,12
ok,0,16
ok,0,16
ok,0,16
ok,0,16
ok,0,16
ok,63,0
ok,47,16
ok,32,31
ok,16,47
ok,0,63
ok,0,63
ok,0,63
ok,0,63
ok,0,63
ok,1000,0
ok,750,250
ok,500,500
ok,250,750
ok,0,1000
ok,0,1000
ok,0,1000
ok,0,1000
ok,0,1000
ok,1,0,0
ok,1,0,0
ok,0,1,0
ok,0,0,1
ok,0,0,1
ok,0,0,1
ok,0,0,1
ok,0,0,1
ok,0,0,1
ok,2,0,0
ok,1,1,0
ok,1,1,0
ok,0,1,1
ok,0,0,2
ok,0,0,2
ok,0,0,2
ok,0,0,2
ok,0,0,2
ok,3,0,0
ok,2,1,0
ok,1,1,1
ok,0,1,2
ok,0,0,3
ok,0,0,3
ok,0,0,3
ok,0,0,3
ok,0,0,3
ok,7,0,0
ok,4,3,0
ok,2,3,2
ok,0,3,4
ok,0,0,7
ok,0,0,7
ok,0,0,7
ok,0,0,7
ok,0,0,7
ok,8,0,0
ok,5,3,0
ok,2,4,2
ok,1,3,4
ok,0,0,8
ok,0,0,8
ok,0,0,8
ok,0,0,8
ok,0,0,8
ok,16,0,0
ok,9,6,1
ok,4,8,4
ok,1,6,9
ok,0,0,16
ok,0,0,16
ok,0,0,16
ok,0,0,16
ok,0,0,16
ok,63,0,0
ok,35,24,4
ok,16,31,16
ok,4,24,35
ok,0,0,63
ok,0,0,63
ok,0,0,63
ok,0,0,63
ok,0,0,63
ok,1000,0,0
ok,563,375,62
ok,250,500,250
ok,63,375,562
ok,0,0,1000
ok,0,0,1000
ok,0,0,1000
ok,0,0,1000
ok,0,0,1000
ok,1,0,0,0
ok,1,0,0,0
ok,0,1,0,0
ok,0,0,1,0
ok,0,0,0,1
ok,0,0,0,1
ok,0,0,0,1
ok,0,0,0,1
ok,0,0,0,1
ok,2,0,0,0
ok,1,1,0,0
ok,0,1,1,0
ok,0,0,1,1
ok,0,0,0,2
ok,0,0,0,2
ok,0,0,0,2
ok,0,0,0,2
ok,0,0,0,2
ok,3,0,0,0
ok,1,1,1,0
ok,1,1,1,0
ok,0,1,1,1
ok,0,0,0,3
ok,0,0,0,3
ok,0,0,0,3
ok,0,0,0,3
ok,0,0,0,3
ok,7,0,0,0
ok,3,3,1,0
ok,1,3,2,1
ok,0,1,3,3
ok,0,0,0,7
ok,0,0,0,7
ok,0,0,0,7
ok,0,0,0,7
ok,0,0,0,7
ok,8,0,0,0
ok,4,3,1,0
ok,1,3,3,1
ok,0,1,4,3
ok,0,0,0,8
ok,0,0,0,8
ok,0,0,0,8
ok,0,0,0,8
ok,0,0,0,8
ok,16,0,0,0
ok,7,7,2,0
ok,2,6,6,2
ok,0,2,7,7
ok,0,0,0,16
ok,0,0,0,16
ok,0,0,0,16
ok,0,0,0,16
ok,0,0,0,16
ok,63,0,0,0
ok,27,26,9,1
ok,8,24,23,8
ok,1,9,27,26
ok,0,0,0,63
ok,0,0,0,63
ok,0,0,0,63
ok,0,0,0,63
ok,0,0,0,63
ok,1000,0,0,0
ok,422,422,141,15
ok,125,375,375,125
ok,16,140,422,422
ok,0,0,0,1000
ok,0,0,0,1000
ok,0,0,0,1000
ok,0,0,0,1000
ok,0,0,0,1000
ok,1,0,0
ok,1,0,0
ok,1,0,0
ok,0,1,0
ok,0,1,0
ok,0,1,0
ok,0,1,0
ok,0,0,1
ok,0,0,1
ok,0,0,1
ok,0,0,1
ok,0,0,1
ok,0,0,1
ok,2,0,0
ok,2,0,0
ok,1,1,0
ok,1,1,0
ok,0,2,0
ok,0,2,0
ok,0,1,1
